Tree depth	Number of total nodes	Number of leaves	Train Accuracy	Test Accuracy	Validation Accuracy
0	1	1	52.7761	52.94145	52.24365
1	3	2	65.69777	65.64832	65.53866
2	7	4	66.24635	66.24171	66.15984
3	15	8	66.5415	66.71457	66.34526
4	31	16	66.7362	66.77947	66.60486
5	61	31	68.46847	68.41593	67.84721
6	109	55	70.76322	70.57624	69.88689
7	183	92	72.15552	71.64712	71.32394
8	303	152	74.00677	73.48292	72.89078
9	501	251	75.00502	74.22929	73.67884
10	783	392	75.95692	75.15182	74.43445
11	1165	583	76.62757	75.29554	74.70795
12	1627	814	78.75852	77.3075	76.52049
13	2185	1093	79.76604	77.67836	77.11385
14	2837	1419	80.73339	78.29493	77.60523
15	3613	1807	81.49985	78.32275	77.71185
16	4429	2215	82.36367	78.58699	78.20323
17	5305	2653	82.97096	78.6658	78.28203
18	6265	3133	83.62771	78.70289	78.26349
19	7309	3655	84.20565	78.75388	78.48136
20	8463	4232	84.89175	79.00885	78.486
21	9707	4854	85.50832	78.73534	78.39792
22	11023	5512	86.10326	78.60554	78.20786
23	12319	6160	86.80018	78.50355	78.26813
24	13509	6755	87.3024	78.36447	78.11051
25	14649	7325	87.90351	78.35056	78.05952
26	15621	7811	88.35164	78.13268	78.03171
27	16417	8209	88.77505	78.11413	77.92045
28	17063	8532	89.10883	78.00751	77.87873
29	17609	8805	89.38544	78.0585	78.00389
30	18041	9021	89.56624	78.05387	77.8741
31	18383	9192	89.72849	78.05387	77.90655
32	18639	9320	89.83357	77.98433	77.8231
33	18891	9446	89.94947	77.9287	77.76748
34	19113	9557	90.02828	77.9287	77.73039
35	19293	9647	90.09473	77.97506	77.69794
36	19427	9714	90.15808	78.01678	77.70721
37	19511	9756	90.19517	78.05387	77.71648
38	19559	9780	90.22608	78.0585	77.72112
39	19593	9797	90.24153	78.04923	77.70721
40	19625	9813	90.25389	77.98433	77.73503
41	19667	9834	90.26316	77.98433	77.73039
42	19709	9855	90.29561	77.9936	77.72112
43	19751	9876	90.3157	77.97042	77.75821
44	19783	9892	90.34661	77.95652	77.69794
45	19813	9907	90.35433	77.96115	77.69794
46	19847	9924	90.36824	77.97042	77.72576
47	19883	9942	90.39451	77.95188	77.73039
48	19921	9961	90.40533	77.96579	77.73503
49	19955	9978	90.41924	77.97506	77.73039
50	19977	9989	90.42851	77.97506	77.73039
51	19989	9995	90.43623	77.97042	77.72576
52	19993	9997	90.43623	77.97969	77.73039
53	19999	10000	90.43778	77.97969	77.72112
54	20003	10002	90.44087	77.97969	77.73039
